No.,NAMA USAHA,JENIS,BARANG UNGGULAN,ALAMAT,NAMA PEMILIK,No. TLP,Media Promosi,LONGITUDE,LATITUDE,JENIS WILAYAH BANGUNAN
53,PD. BUANA KARYA,TK. KAYU,BHN. KAYU,MEKARGALIH TAROGONG KIDUL,"FITRIA, DEP",0813 2070 7570,-,107.8702821,-7.2028734,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
54,PD. KURNIA ASIH ,TK. KAYU,BH. KAYU,KERSAMENAK TAROGONG KIDUL,RAHMAT,0896 3630 0336,-,107.866763,-7.234163,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
55,FAMILY MANDIRI,PAVING,"PAVING, BUIS",JL. RAYA BAYONGBONG,AHSAN SAFAAT,0823 1584 0879.,-,107.8246382,-7.265503,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
56,PD. BETON JAYA,PAVING,BUIS,"JL. TAMBAK BAYA, CISURUPAN",H. UDIN,085 22218 7270,-,107.80444,-7.295895,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
57,PD. GAYA HALAMAN,PAVING,BUIS,"MANGKURAKYAT, CILAWU",H. ADIN . H,0895 3686 41696.,-,107.8770451,-7.2498213,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
58,MEGA BAJA,BESI,"TK. BESI, BAJA","PASAWAHAN, TAROGONG KALER",ASEP,0821 4443 008,-,107.8946364,-7.1649111,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
59,SUMBER BAJA MANDIRI,TK. BESI,BAJA.,"PANANJUNG, TAROGONG KALER",SISTYA.,0262 224 6295,-,107.889322,-7.1736418,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
60,BBM,TK. BESI,"BAJA, HOLLOW","SUKAGALIH, TAROGONG KIDUL",HALIMAN,0821 6629 8371,-,107.8887868,-7.1924912,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
61,MEKAR BAJA,TK. BESI,BAJA.,KERSAMANAH,DULOH,0821 0414 0351,-,108.036245,-7.0527838,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
62,TB. BBM LIMBANGAN,TK. BESI,BAJA.,JL. RAYA LIMBANGAN,ATEN ARIFIN,0812 2246 6079,-,107.9826173,-7.0366038,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
